# schema pnix-rs.oracles.v0
# generated-by pnix-rs export-oracles
# provenance: values manually cross-checked (S2, 2026-07-02) against
#   pnix-clj resources/pnix_clj/rust_grounded/oracles.edn
#   (rust-grounded capture of ~/pnix-old @ f5ce48f)
# name	value_canonical	value_sha256	ir_sha256
c02_strings	{ hello = "hello, pnix!"; interp = "n=7 sq=49"; joined = "a-b-c-pnix"; len = 4; sub = "abc"; }	e1cd073ef1650c10222146e98300e2bdc6519fe09da0baae17324c603204632d	b290bc42c58b3f4725e5d2f204fc5af5c8496c35a53cac6c716c25994eee802c
c03_list	{ filtered = [ 11 12 13 14 15 16 17 18 19 20 ]; len = 20; mapped = [ 1 4 9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 400 ]; total = 210; }	d307a4b2b5d10523a484623b80321b85447107fa5f152566237ecd9a86adb022	e2315f9ab14ad967687b7d303acf507aff583b6a2da5269d16adb702f413a15a
c04_attr	{ has = true; m = { a = 1; b = 20; c = 3; }; names = [ "a" "b" "c" ]; pick = 3; }	36e5c7bc7ad4953cbdda5207263433b70206e0d6ed7b5056d1c802596b83b1c8	7f65edee1a2b33ad8012a87d7ba41ec8ea39a33965b779136e021aca97fe52a0
c05_recurse	{ fib = 6765; sum = 125250; }	b8b3a7e4095d66b375cfbbe8894cc8bd904be44c9d47a3f023ffe64bf56154df	53638c2649359e25787263f85bf5dcac3f78c1bec0f733d6a6e1914c0d75479d
c07_builtins	{ at = 8; head = 5; member = true; sorted = [ 1 2 3 5 8 9 ]; tail = [ 2 8 1 9 3 ]; }	8feb45cae72695fd1f32c65edae81bb5f84d8331ad2d24ae9382d3a69553b024	e5462a2e13c66fbba40ec576451c0001ba13f767297fb0748b2faab7ab4d3261
c08_bool	[ "neg" "zero" "small" "big" ]	8e465bea5f29196806fa520bd37e9748161db1850f08493f3c47abb11800abb7	634df6269ece931d1802a5d4acab083d252088d9b5c55a98ad7c975036e74944
c09_lambda	{ a = 3; c = 21; curry = 6; }	a004b329e4f86fec4e3a2cc347ee86337907f870052dbf09b60c95a06acfa554	ee773b3ff1671e4bcdcebb20d060bb897922adf1b1b6cc76d065ad22c141215b
seed_arith	{ div = 10; prod = 42; sum = 23; }	d13389c6973edd670ee3f77c0909dbd4be43ad0617396f691e5c765c961fbd8d	896832806c223dfdc109df6753eb42b8c7e6d752d999529b06dcbe5fce50c7fe
seed_let_rec	11	4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8	dc5a8175d3b36e17f1e5d5f6cdc6ce1a5fdcae02e1cc9da871168e0253cc56f7
seed_let_shadow	2	d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35	f05058d4f0ae99d299a2d1e4f3511fce9e4d40447741ce5a79afd773a3f233f4
seed_let_dotted	3	4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce	8ac99842bcf54cdbdd1e5b0490ce25386023f75a442d0358e4c863f4b6789798
seed_replace_strings_empty	"xaxbx"	a95cb8ad4ee131e8e5d1cf760ed7bdcfc9d00f047ff0acc08a796782a3727804	3da9b27541e43d790b454b3298cd014906ab047d16adfe20dbd5a9351ef76fc9
seed_function_args_pattern	{ a = false; b = true; }	0c9c60f2362f255df33978113452672992b30ab1c87307a954534f5679c6bee4	2bb3aa61efedf8b0f34675bc2191a63a416b04a65ee4f0ced0174122d0bfadb4
seed_substring_negative_length	"ello"	ef19655dc78846c439de739cdf736074ea5476f7045defc592d5d33f86f95f54	0e3f1a392829ecb6898cccd098264d9fe474c8378d3ece5f5e904cf77de79087
c01_arith	{ div = 10; flt = 7.0; mixed = 44; modv = 1; prod = 42; sum = 23; }	4b307a8463ba6b79cc101d5a0e2ddc7f8b2ad167f6822c6f27e2b7e10fa0f481	83a1177bcc1441e82a38924bc2e8adde754e0e0a435824dd5b69320ca0954721
c06_nested	"[{\"id\":1,\"sq\":1,\"tags\":[\"t1\",\"x\"]},{\"id\":2,\"sq\":4,\"tags\":[\"t2\",\"x\"]},{\"id\":3,\"sq\":9,\"tags\":[\"t3\",\"x\"]},{\"id\":4,\"sq\":16,\"tags\":[\"t4\",\"x\"]},{\"id\":5,\"sq\":25,\"tags\":[\"t5\",\"x\"]},{\"id\":6,\"sq\":36,\"tags\":[\"t6\",\"x\"]},{\"id\":7,\"sq\":49,\"tags\":[\"t7\",\"x\"]},{\"id\":8,\"sq\":64,\"tags\":[\"t8\",\"x\"]},{\"id\":9,\"sq\":81,\"tags\":[\"t9\",\"x\"]},{\"id\":10,\"sq\":100,\"tags\":[\"t10\",\"x\"]},{\"id\":11,\"sq\":121,\"tags\":[\"t11\",\"x\"]},{\"id\":12,\"sq\":144,\"tags\":[\"t12\",\"x\"]}]"	9c4e17a85903250548dfb7b4359742093e431b5fdfab61925489ae2655306c98	57dccf656233fcc3e1cf954e78ee926a36c9a553203f8c6df30f69747f4f51cb
c10_mixed	{ count = 15; label = "evens-15"; squares = { k10 = 100; k12 = 144; k14 = 196; k16 = 256; k18 = 324; k2 = 4; k20 = 400; k22 = 484; k24 = 576; k26 = 676; k28 = 784; k30 = 900; k4 = 16; k6 = 36; k8 = 64; }; total = 240; }	0dce09fadcc32a30439aa2a66e7275039ca92548fef4e521137387b771936175	c83ed92022d2c2eb435349b4e86cc7fabdccf6918fb2730230bdee5e125adac7
seed_type_tests	{ b = true; bs = false; i = true; ib = false; l = true; lb = false; s = true; si = false; }	fb9c6e8fc2bdf57c571f9628df07546fbeb0576aae22ee5bc0e48e11f00ae5c7	87dc5d813df69f290ff35db776024c26aa85013eababae144fb921f83b2078ba
seed_deep_eq	{ a = true; an = false; l = true; ln = false; mixed = true; }	12ead1fcb8a8179425ab80175224a0e38850ead119e2d032bd079887188c13f0	78d8e3eb8f2bbc846bce98787ac3f23b0fa70bc9dfb8eba0cd2e6bf18acfb9da
seed_list_to_attrs	{ flag = true; nonflag = false; picked = 2; s = { a = 1; b = 2; }; }	0b99c17654c27ff803bacd2e6079cdf42409ea7d3fa15c55b3f936598c700013	290aa120b1337fce901ba47f8af9e73caf97f951166f55607152ce309af2546e
seed_generic_closure	[ { key = 1; } { key = 2; } { key = 3; } { key = 4; } { key = 5; } { key = 6; } { key = 7; } ]	639dfae3adb1d70ec332ef0369e5a49413e7e5ee42f845086532da8cef23f9d0	29f9a5a2bc054c45daee3f56217cea8fbdab63aa732df11a8198882cba8960e0
seed_get_set	{ a = 9; b = 1; }	030470e3045cff038dd837701e574addc2f16ffae3d0ed55508dd8fbef138885	03235a577e8e8cb9d6134982309d53fcaa0beb60e3240808045eddc6e06887cc
seed_nested_dynamic_attr	3	4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce	caa2936f30dde838ac9ea35cd998d00c8e2765a257ad75db9a715678d6347d74
